timestamp,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-03-18 10:47:00,0,0,0,0,0,0,0,0,0
2016-03-18 10:48:00,1,0,0,0,0,0,0,0,0
2016-03-18 10:49:00,2,0,0,0,0,0,0,0,0
2016-03-18 10:50:00,3,0,0,0,0,0,0,0,0
2016-03-18 10:51:00,4,0,0,0,0,0,0,0,0
2016-03-18 10:52:00,5,0,0,0,0,1,0,0,0
2016-03-18 10:53:00,6,0,0,0,0,1,0,0,0
2016-03-18 10:54:00,7,0,0,0,0,1,0,0,0
2016-03-18 10:55:00,8,0,0,0,0,1,0,0,0
2016-03-18 10:56:00,9,0,0,0,0,1,0,0,0
2016-03-18 10:57:00,10,0,0,0,0,1,0,0,0
2016-03-18 10:58:00,11,0,0,0,0,1,0,0,0
2016-03-18 10:59:00,12,0,0,0,0,1,0,0,0
2016-03-18 11:00:00,13,0,0,0,0,1,0,0,0
2016-03-18 11:01:00,14,0,0,0,0,1,0,0,0
2016-03-18 11:02:00,15,0,0,0,0,1,0,0,0
2016-03-18 11:03:00,16,0,0,0,0,1,0,0,0
2016-03-18 11:04:00,17,0,0,0,0,1,0,0,0
2016-03-18 11:05:00,18,0,0,0,0,1,0,0,0
2016-03-18 11:06:00,19,0,0,0,0,1,0,0,0
2016-03-18 11:07:00,20,0,0,0,0,1,0,0,0
2016-03-18 11:08:00,21,0,0,0,0,1,0,0,0
2016-03-18 11:09:00,22,0,0,0,0,1,0,0,0
2016-03-18 11:10:00,23,0,0,0,0,1,0,0,0
2016-03-18 11:11:00,24,0,0,0,0,1,0,0,0
2016-03-18 11:12:00,25,0,0,0,0,1,0,0,0
2016-03-18 11:13:00,26,0,0,0,0,1,0,0,0
2016-03-18 11:14:00,27,0,0,0,0,1,0,0,0
2016-03-18 11:15:00,28,0,0,0,0,1,0,0,0
2016-03-18 11:16:00,29,0,0,0,0,1,0,0,0
2016-03-18 11:17:00,30,0,0,0,0,1,0,0,0
2016-03-18 11:18:00,31,0,0,0,0,1,0,0,0
2016-03-18 11:19:00,32,0,0,0,0,1,0,0,0
2016-03-18 11:20:00,33,0,0,0,0,1,0,0,0
2016-03-18 11:21:00,34,0,0,0,0,1,0,0,1
2016-03-18 11:22:00,35,0,0,0,0,1,0,0,0
2016-03-18 11:23:00,36,0,0,0,0,1,0,0,0
2016-03-18 11:24:00,37,0,0,0,0,1,0,0,0
2016-03-18 11:25:00,38,0,0,0,0,1,0,0,0
2016-03-18 11:26:00,39,0,0,0,0,1,0,0,0
2016-03-18 11:27:00,40,0,0,0,0,1,0,0,0
2016-03-18 11:28:00,41,0,0,0,0,1,0,0,0
2016-03-18 11:29:00,42,0,0,0,0,1,0,0,0
2016-03-18 11:30:00,43,0,0,0,0,1,0,0,0
2016-03-18 11:31:00,44,0,0,0,0,1,0,0,0
2016-03-18 11:32:00,45,0,0,0,0,1,0,0,1
2016-03-18 11:33:00,46,0,0,0,0,1,0,0,0
2016-03-18 11:34:00,47,0,0,0,0,1,0,0,0
2016-03-18 11:35:00,48,0,0,0,0,1,0,0,0
2016-03-18 11:36:00,49,0,0,0,0,1,0,0,0
2016-03-18 11:37:00,50,0,0,0,0,1,0,0,0
2016-03-18 11:38:00,51,0,0,0,0,1,0,0,1
2016-03-18 11:39:00,52,0,0,0,0,1,0,0,1
2016-03-18 11:40:00,53,0,0,0,0,1,0,0,0
2016-03-18 11:41:00,54,0,0,0,0,1,0,0,0
2016-03-18 11:42:00,55,0,0,0,0,1,0,0,0
2016-03-18 11:43:00,56,0,0,0,0,1,0,0,0
2016-03-18 11:44:00,57,0,0,0,0,1,0,0,0
2016-03-18 11:45:00,58,0,0,0,0,1,0,0,0
2016-03-18 11:46:00,59,0,0,0,0,1,0,0,0
2016-03-18 11:47:00,60,0,0,0,0,1,0,0,0
2016-03-18 11:48:00,61,0,0,0,0,1,0,0,1
2016-03-18 11:49:00,62,0,0,0,0,1,0,0,0
2016-03-18 11:50:00,63,0,0,0,0,1,0,0,0
2016-03-18 11:51:00,64,0,0,0,0,1,0,0,0
